"precisao","ciclos"
0.821704,10
0.74727,20
0.679482,30
0.615595,40
0.573294,50
0.547124,60
0.531814,70
0.53558,80
0.524353,90
0.520642,100
0.513139,110
0.518093,120
0.517611,130
0.511299,140
0.510985,150
0.511849,160
0.511407,170
0.523146,180
0.517453,190
0.511542,200
0.510793,210
0.518028,220
0.517559,230
0.517108,240
0.510528,250
0.511802,260
0.518293,270
0.51884,280
0.524613,290
0.512279,300
0.518475,310
0.520012,320
0.513801,330
0.520021,340
0.512737,350
0.513815,360
0.526568,370
0.514538,380
0.514782,390
0.525991,400
0.514558,410
0.521442,420
0.515408,430
0.515879,440
0.515037,450
0.528378,460
0.521841,470
0.515477,480
0.515013,490
0.528002,500
0.527349,510
0.509396,520
0.522726,530
0.522803,540
0.524019,550
0.511792,560
0.511786,570
0.52514,580
0.524896,590
0.512374,600
0.518008,610
0.532101,620
0.520183,630
0.526412,640
0.519485,650
0.520248,660
0.53356,670
0.526487,680
0.527086,690
0.514477,700
0.527711,710
0.521122,720
0.521481,730
0.522304,740
0.534598,750
0.522524,760
0.522837,770
0.530266,780
0.523625,790
0.536383,800
0.530201,810
0.530587,820
0.529217,830
0.523296,840
0.524186,850
0.525086,860
0.518395,870
0.526032,880
0.526065,890
0.540183,900
0.527325,910
0.533639,920
0.534394,930
0.540828,940
0.527646,950
0.534202,960
0.535059,970
0.521996,980
0.528328,990
0.528464,1000
0.543005,1010
0.529189,1020
0.530848,1030
0.531495,1040
0.530964,1050
0.530281,1060
0.531187,1070
0.5397,1080
0.531748,1090
0.533301,1100
0.540026,1110
0.533542,1120
0.541308,1130
0.547396,1140
0.541235,1150
0.542223,1160
0.53665,1170
0.536179,1180
0.536798,1190
0.544964,1200
0.545346,1210
0.539118,1220
0.544029,1230
0.546234,1240
0.541063,1250
0.541677,1260
0.540388,1270
0.535718,1280
0.541725,1290
0.555939,1300
0.541807,1310
0.549563,1320
0.544521,1330
0.551895,1340
0.546281,1350
0.552611,1360
0.545531,1370
