"precisao","ciclos"
0.87207,10
0.867029,20
0.862666,30
0.858139,40
0.854014,50
0.846767,60
0.844884,70
0.839064,80
0.832934,90
0.828253,100
0.821704,110
0.816914,120
0.806948,130
0.801902,140
0.797399,150
0.786526,160
0.78454,170
0.779448,180
0.772823,190
0.764308,200
0.7562,210
0.74727,220
0.73818,230
0.738938,240
0.729667,250
0.725336,260
0.715448,270
0.711703,280
0.702167,290
0.698434,300
0.682718,310
0.679672,320
0.679482,330
0.670536,340
0.66344,350
0.657436,360
0.655522,370
0.653737,380
0.640121,390
0.639132,400
0.629776,410
0.618431,420
0.618332,430
0.615595,440
0.614289,450
0.605195,460
0.605934,470
0.592083,480
0.594827,490
0.591055,500
0.587691,510
0.583144,520
0.591279,530
0.576432,540
0.573294,550
0.575729,560
0.567507,570
0.564877,580
0.567818,590
0.571492,600
0.568954,610
0.560502,620
0.558451,630
0.556217,640
0.548392,650
0.547124,660
0.551396,670
0.543564,680
0.54834,690
0.552408,700
0.538674,710
0.537501,720
0.542187,730
0.534979,740
0.53993,750
0.532704,760
0.531814,770
0.531069,780
0.536073,790
0.522941,800
0.528352,810
0.521625,820
0.533053,830
0.519977,840
0.531535,850
0.518488,860
0.530285,870
0.53558,880
0.522455,890
0.521874,900
0.527785,910
0.52724,920
0.526441,930
0.51986,940
0.525514,950
0.512587,960
0.518671,970
0.518128,980
0.524353,990
0.523692,1000
0.523024,1010
0.522384,1020
0.515799,1030
0.509788,1040
0.515904,1050
0.527846,1060
0.514869,1070
0.521096,1080
0.515112,1090
0.520642,1100
0.514261,1110
0.520819,1120
0.514291,1130
0.520151,1140
0.507335,1150
0.507477,1160
0.519853,1170
0.51376,1180
0.50729,1190
0.513749,1200
0.513139,1210
0.513153,1220
0.507442,1230
0.520225,1240
0.519773,1250
0.525317,1260
0.518926,1270
0.511981,1280
0.518308,1290
0.518383,1300
0.511944,1310
0.518093,1320
0.518023,1330
0.511087,1340
0.511065,1350
0.511319,1360
0.518138,1370
0.511199,1380
0.50534,1390
0.511426,1400
0.518242,1410
0.511953,1420
0.517611,1430
0.52389,1440
0.505159,1450
0.511912,1460
0.518077,1470
0.511137,1480
0.51799,1490
0.505219,1500
0.523875,1510
0.517722,1520
0.511126,1530
0.511299,1540
0.517371,1550
0.516676,1560
0.504619,1570
0.517636,1580
0.504872,1590
0.517877,1600
0.510936,1610
0.51121,1620
0.517944,1630
0.517237,1640
0.510985,1650
0.511125,1660
0.511732,1670
0.511365,1680
0.511683,1690
0.51755,1700
0.511146,1710
0.51765,1720
0.511386,1730
0.518387,1740
0.518323,1750
0.511849,1760
0.517712,1770
0.511304,1780
0.518182,1790
0.511232,1800
0.523945,1810
0.511041,1820
0.511859,1830
0.517722,1840
0.511483,1850
0.505297,1860
0.511407,1870
0.511928,1880
0.511367,1890
0.51136,1900
0.512025,1910
0.524043,1920
0.511136,1930
0.523733,1940
0.523428,1950
0.511086,1960
0.517487,1970
0.523146,1980
0.510257,1990
0.510451,2000
0.523376,2010
0.510482,2020
0.504847,2030
0.517908,2040
0.511456,2050
0.511596,2060
0.505411,2070
0.518163,2080
0.517453,2090
0.517854,2100
0.517152,2110
0.510771,2120
0.517245,2130
0.517352,2140
0.510401,2150
0.517409,2160
0.517419,2170
0.510466,2180
0.504847,2190
0.511542,2200
0.505175,2210
0.517959,2220
0.517256,2230
0.505058,2240
0.511741,2250
0.517854,2260
0.510893,2270
0.517608,2280
0.523278,2290
0.517356,2300
0.510793,2310
0.511025,2320
0.51049,2330
0.510554,2340
0.510893,2350
0.51094,2360
0.517808,2370
0.505032,2380
0.517617,2390
0.517444,2400
0.517646,2410
0.518028,2420
0.518022,2430
0.511763,2440
0.517655,2450
0.523711,2460
0.523442,2470
0.504733,2480
0.52352,2490
0.511153,2500
0.517256,2510
0.523474,2520
0.517559,2530
0.517446,2540
0.510482,2550
0.510697,2560
0.51104,2570
0.523996,2580
0.523718,2590
0.517659,2600
0.516966,2610
0.510747,2620
0.517805,2630
0.517108,2640
