"precisao","ciclos"
0.783877,10
0.718729,20
0.642378,30
0.582715,40
0.556421,50
0.520371,60
0.506508,70
0.509606,80
0.505317,90
0.495903,100
0.494646,110
0.498998,120
0.492504,130
0.497989,140
0.491814,150
0.492316,160
0.497425,170
0.496141,180
0.496612,190
0.496698,200
0.495776,210
0.496372,220
0.489809,230
0.495008,240
0.488862,250
0.489616,260
0.495095,270
0.495452,280
0.494455,290
0.494643,300
0.494237,310
0.48952,320
0.495118,330
0.500397,340
0.493669,350
0.49429,360
0.493747,370
0.482881,380
0.494105,390
0.49228,400
0.493265,410
0.493423,420
0.487816,430
0.482075,440
0.480997,450
0.492329,460
0.491863,470
0.491673,480
0.479556,490
0.490538,500
0.489594,510
0.484737,520
0.484769,530
0.495936,540
0.490798,550
0.485301,560
0.484888,570
0.48481,580
0.489879,590
0.484169,600
0.477406,610
0.489248,620
0.483922,630
0.483339,640
0.482665,650
0.482877,660
0.488279,670
0.493173,680
0.481595,690
0.481543,700
0.48706,710
0.48644,720
0.480728,730
0.486476,740
0.485209,750
0.48564,760
0.479832,770
0.491432,780
0.473569,790
0.484057,800
0.478025,810
0.489479,820
0.481841,830
0.470457,840
0.476222,850
0.476274,860
0.475715,870
0.476282,880
0.4698,890
0.48134,900
0.481047,910
0.474369,920
0.474365,930
0.479227,940
0.472806,950
0.477803,960
0.483758,970
0.471561,980
0.470756,990
0.464357,1000
0.47609,1010
0.46348,1020
0.475579,1030
0.46939,1040
0.468263,1050
0.472948,1060
0.46126,1070
0.473552,1080
0.465887,1090
0.472204,1100
0.471313,1110
0.46484,1120
0.476398,1130
0.469083,1140
0.47448,1150
0.46263,1160
0.457149,1170
0.461729,1180
0.467002,1190
0.472931,1200
0.460487,1210
0.459977,1220
0.463372,1230
0.458146,1240
0.458375,1250
0.457833,1260
0.450191,1270
0.456457,1280
0.455036,1290
0.46001,1300
0.446902,1310
0.452278,1320
0.452255,1330
0.463401,1340
0.451485,1350
0.461504,1360
0.442745,1370
0.448032,1380
0.453881,1390
0.447215,1400
0.446249,1410
0.446673,1420
0.438558,1430
0.44266,1440
0.441759,1450
0.44168,1460
0.440317,1470
0.445234,1480
0.443212,1490
0.44229,1500
0.436355,1510
0.435343,1520
0.427761,1530
0.433463,1540
0.436761,1550
0.435713,1560
0.440739,1570
0.432803,1580
0.431454,1590
0.435611,1600
0.429728,1610
0.422955,1620
0.426751,1630
0.425952,1640
0.425539,1650
0.429774,1660
0.415422,1670
0.419854,1680
0.414316,1690
0.412207,1700
0.416973,1710
0.414536,1720
0.408529,1730
0.406293,1740
0.415251,1750
0.412812,1760
0.411385,1770
0.403682,1780
0.403055,1790
0.39946,1800
0.387922,1810
0.385976,1820
0.389386,1830
0.388811,1840
0.386505,1850
0.391587,1860
0.385449,1870
0.382444,1880
0.381115,1890
0.382368,1900
0.387697,1910
0.373018,1920
0.376961,1930
0.375107,1940
0.37316,1950
0.361239,1960
0.371203,1970
0.367098,1980
0.365502,1990
0.36485,2000
0.362579,2010
0.358366,2020
0.356641,2030
0.35552,2040
0.352156,2050
0.3499,2060
0.343568,2070
0.345594,2080
0.344631,2090
0.337576,2100
0.339786,2110
0.338702,2120
0.331534,2130
0.328927,2140
0.328139,2150
0.32899,2160
0.32665,2170
0.321357,2180
0.318473,2190
0.316133,2200
0.313487,2210
0.316301,2220
0.314508,2230
0.312288,2240
0.306423,2250
0.304515,2260
0.305807,2270
0.299961,2280
0.302205,2290
0.299856,2300
0.293566,2310
0.298108,2320
0.296018,2330
0.289735,2340
0.290167,2350
0.288025,2360
0.291819,2370
0.27956,2380
0.284428,2390
0.272871,2400
0.283752,2410
0.271807,2420
0.272109,2430
0.268997,2440
0.271556,2450
0.266355,2460
0.267988,2470
0.266437,2480
0.264706,2490
0.261082,2500
0.259392,2510
0.25248,2520
0.2578,2530
0.261783,2540
0.256379,2550
0.251785,2560
0.252948,2570
0.248974,2580
0.246336,2590
0.245137,2600
0.23852,2610
0.242561,2620
0.241176,2630
0.241672,2640
0.240353,2650
0.237823,2660
0.234387,2670
0.234662,2680
0.233166,2690
0.233834,2700
0.237618,2710
0.22825,2720
0.228349,2730
0.227515,2740
0.229138,2750
0.225862,2760
0.218861,2770
0.226199,2780
0.224814,2790
0.221944,2800
0.219406,2810
0.219946,2820
0.217244,2830
0.215922,2840
0.221234,2850
0.217266,2860
0.213588,2870
0.212675,2880
0.214848,2890
0.216589,2900
0.205501,2910
0.209655,2920
0.208973,2930
0.208141,2940
0.210186,2950
0.204582,2960
0.211262,2970
0.211071,2980
0.204999,2990
0.206859,3000
0.205089,3010
0.201549,3020
0.208504,3030
0.202956,3040
0.202155,3050
0.201728,3060
0.197576,3070
0.202051,3080
0.196165,3090
0.198537,3100
0.200804,3110
0.199964,3120
0.198578,3130
0.203513,3140
0.199158,3150
0.197668,3160
0.194302,3170
0.199655,3180
0.198213,3190
0.20298,3200
0.196643,3210
0.19728,3220
0.19761,3230
0.200422,3240
0.202233,3250
0.196667,3260
0.19569,3270
0.195794,3280
0.193346,3290
0.19674,3300
0.197633,3310
0.20206,3320
0.192771,3330
0.199133,3340
0.197717,3350
0.197704,3360
0.196416,3370
0.196715,3380
0.197414,3390
0.197146,3400
0.198872,3410
0.199886,3420
0.19729,3430
0.196369,3440
0.197491,3450
0.197974,3460
0.19912,3470
0.197868,3480
0.199118,3490
0.19948,3500
0.197029,3510
0.202329,3520
0.199891,3530
0.197805,3540
0.198289,3550
0.198838,3560
0.197616,3570
0.198667,3580
0.197569,3590
0.19855,3600
0.196225,3610
0.200814,3620
0.197188,3630
0.194719,3640
0.1962,3650
0.197677,3660
0.195179,3670
0.199275,3680
0.195581,3690
0.195836,3700
0.19415,3710
0.193797,3720
0.19514,3730
0.19465,3740
0.194118,3750
0.19251,3760
0.191692,3770
0.193313,3780
0.192146,3790
0.191937,3800
0.191834,3810
0.190606,3820
0.188722,3830
0.189819,3840
0.189266,3850
0.188197,3860
0.188059,3870
0.185825,3880
0.187933,3890
0.184316,3900
0.185211,3910
0.185512,3920
0.182782,3930
0.182872,3940
0.180742,3950
0.179861,3960
0.181635,3970
0.177546,3980
0.178287,3990
0.177502,4000
0.176424,4010
0.176907,4020
0.175344,4030
0.17533,4040
0.174599,4050
0.173898,4060
0.172061,4070
0.171137,4080
0.170659,4090
0.170376,4100
0.168861,4110
0.168052,4120
0.168276,4130
0.166848,4140
0.166006,4150
0.165847,4160
0.164268,4170
0.164221,4180
0.162921,4190
0.163481,4200
0.16153,4210
0.161142,4220
0.160056,4230
0.158629,4240
0.159075,4250
0.157161,4260
0.157475,4270
0.156879,4280
0.155722,4290
0.154835,4300
0.155257,4310
0.153844,4320
0.153393,4330
0.152608,4340
0.152494,4350
0.150755,4360
0.151074,4370
0.149823,4380
0.149713,4390
0.148472,4400
0.147745,4410
0.14715,4420
0.146389,4430
0.144997,4440
0.145135,4450
0.144593,4460
0.143527,4470
0.143693,4480
0.142626,4490
0.142414,4500
0.141018,4510
0.140795,4520
0.140636,4530
0.139613,4540
0.138787,4550
0.138451,4560
0.137632,4570
0.137276,4580
0.136383,4590
0.136121,4600
0.135582,4610
0.135062,4620
0.134235,4630
0.134264,4640
0.133075,4650
0.132643,4660
0.132148,4670
0.131795,4680
0.131255,4690
0.131064,4700
0.130006,4710
0.129798,4720
0.128732,4730
0.128725,4740
0.128279,4750
0.12776,4760
0.127056,4770
0.126762,4780
0.126337,4790
0.12559,4800
0.125371,4810
0.124651,4820
0.124392,4830
0.123734,4840
0.123305,4850
0.122819,4860
0.122562,4870
0.122123,4880
0.121517,4890
0.121297,4900
0.12065,4910
0.120184,4920
0.119976,4930
0.119418,4940
0.119201,4950
0.118371,4960
0.118151,4970
0.117542,4980
0.117138,4990
0.117104,5000
0.116524,5010
0.116164,5020
0.115786,5030
0.115566,5040
0.114976,5050
0.114618,5060
0.114239,5070
0.114021,5080
0.1135,5090
0.113265,5100
0.112739,5110
0.112369,5120
0.112185,5130
0.111827,5140
0.111471,5150
0.111118,5160
0.110612,5170
0.11041,5180
0.110067,5190
0.109741,5200
0.10941,5210
0.109059,5220
0.108581,5230
0.108271,5240
0.107939,5250
0.10759,5260
0.107561,5270
0.107084,5280
0.106647,5290
0.106338,5300
0.106283,5310
0.105847,5320
0.105517,5330
0.105099,5340
0.10489,5350
0.104586,5360
0.104166,5370
0.103992,5380
0.103573,5390
0.103304,5400
0.10301,5410
0.102808,5420
0.10266,5430
0.102268,5440
0.101966,5450
0.101678,5460
0.101419,5470
0.101116,5480
0.100758,5490
0.100577,5500
0.100213,5510
0.100046,5520
0.0995592,5530
0.0995255,5540
0.0992588,5550
0.0989795,5560
0.0987161,5570
0.0983738,5580
0.0981097,5590
0.0978494,5600
0.0977107,5610
0.0974625,5620
0.0973051,5630
0.0969406,5640
0.096618,5650
0.0964669,5660
0.0960252,5670
0.0957952,5680
0.0957483,5690
0.0954971,5700
0.0953498,5710
0.0949282,5720
0.0946946,5730
0.0945394,5740
0.0943084,5750
0.0940104,5760
0.0936887,5770
0.0937276,5780
0.0932366,5790
0.0931913,5800
0.092955,5810
0.0926554,5820
0.0926136,5830
0.092313,5840
0.0920056,5850
0.0918845,5860
0.0916655,5870
0.0914581,5880
0.0910877,5890
0.0910295,5900
0.0907422,5910
0.0906206,5920
0.0904019,5930
0.0900528,5940
0.0900013,5950
0.0897352,5960
0.0894521,5970
0.0894809,5980
0.0892047,5990
0.0890074,6000
0.0887397,6010
0.0885382,6020
0.0883488,6030
0.0880791,6040
0.0879627,6050
0.087775,6060
0.0876419,6070
0.0874616,6080
0.0872054,6090
0.0870217,6100
0.086894,6110
0.0866447,6120
0.0864648,6130
0.0863449,6140
0.0861625,6150
0.0859849,6160
0.0858109,6170
0.0855018,6180
0.0853957,6190
0.0852709,6200
0.0850943,6210
0.084922,6220
0.084751,6230
0.0845889,6240
0.0844181,6250
0.0842389,6260
0.0840752,6270
0.0838486,6280
0.0837986,6290
0.0835148,6300
0.083402,6310
0.0832369,6320
0.0831348,6330
0.0828562,6340
0.0826928,6350
0.0825326,6360
0.082365,6370
0.0822637,6380
0.0820489,6390
0.081943,6400
0.0818444,6410
0.0815785,6420
0.0814718,6430
0.081376,6440
0.0811693,6450
0.0810168,6460
0.0808122,6470
0.0806042,6480
0.0805574,6490
0.0803566,6500
0.0802569,6510
0.0801134,6520
0.0799169,6530
0.0798158,6540
0.0796262,6550
0.0795229,6560
0.0793355,6570
0.0792405,6580
0.0790491,6590
0.0789044,6600
0.0788055,6610
0.0786681,6620
0.0784739,6630
0.0783399,6640
0.0782442,6650
0.0780592,6660
0.0779688,6670
0.0777894,6680
0.0776921,6690
0.0775126,6700
0.0774203,6710
0.0772848,6720
0.0771502,6730
0.0770148,6740
0.0768441,6750
0.0767526,6760
0.0765809,6770
0.0764456,6780
0.0764068,6790
0.0762784,6800
0.076101,6810
0.0759335,6820
0.0758017,6830
0.0756796,6840
0.0756383,6850
0.0754274,6860
0.0753408,6870
0.0751751,6880
0.0750554,6890
0.0749284,6900
0.0748451,6910
0.0746827,6920
0.0745637,6930
0.0743982,6940
0.0743208,6950
0.0741983,6960
0.0741218,6970
0.074,6980
0.0738,6990
0.0737203,7000
0.0736067,7010
0.0735293,7020
0.0733714,7030
0.0732968,7040
0.073219,7050
0.0730275,7060
0.0729496,7070
0.0728338,7080
0.0727239,7090
0.0726062,7100
0.0724927,7110
0.0723795,7120
0.0722346,7130
0.0720858,7140
0.0720508,7150
0.0719053,7160
0.0717929,7170
0.0717172,7180
0.0716085,7190
0.0714681,7200
0.0713946,7210
0.0712872,7220
0.0711072,7230
0.0711078,7240
0.0710002,7250
0.0708584,7260
0.0707185,7270
0.0706437,7280
0.0705418,7290
0.0704385,7300
0.0703018,7310
0.0702291,7320
0.0701251,7330
0.070022,7340
0.06992,7350
0.0697895,7360
0.0696856,7370
