"precisao","ciclos"
0.196278,10
0.259884,20
0.333712,30
0.402075,40
0.441747,50
0.473062,60
0.481828,70
0.483344,80
0.488655,90
0.498638,100
0.499821,110
0.495359,120
0.501789,130
0.496132,140
0.502195,150
0.501946,160
0.502429,170
0.490686,180
0.496849,190
0.496503,200
0.503464,210
0.49649,220
0.496731,230
0.497701,240
0.503588,250
0.50303,260
0.496448,270
0.496365,280
0.490431,290
0.503019,300
0.497174,310
0.495289,320
0.501915,330
0.495781,340
0.503126,350
0.502217,360
0.495562,370
0.507359,380
0.495509,390
0.496526,400
0.502179,410
0.495559,420
0.501577,430
0.500603,440
0.501514,450
0.488867,460
0.495408,470
0.502232,480
0.508327,490
0.495937,500
0.49058,510
0.508587,520
0.495397,530
0.495828,540
0.494486,550
0.506893,560
0.507051,570
0.493847,580
0.49418,590
0.506951,600
0.500934,610
0.487601,620
0.499479,630
0.493552,640
0.500292,650
0.499733,660
0.486984,670
0.488292,680
0.499996,690
0.506568,700
0.494081,710
0.494297,720
0.500363,730
0.493487,740
0.487364,750
0.499972,760
0.499783,770
0.486359,780
0.504955,790
0.492766,800
0.49284,810
0.493053,820
0.494107,830
0.499754,840
0.500063,850
0.498793,860
0.505951,870
0.498804,880
0.498076,890
0.490998,900
0.491823,910
0.491542,920
0.49744,930
0.491205,940
0.498748,950
0.491897,960
0.491758,970
0.498239,980
0.49799,990
0.497912,1000
0.490549,1010
0.497624,1020
0.490896,1030
0.496213,1040
0.497667,1050
0.49844,1060
0.49674,1070
0.489752,1080
0.496757,1090
0.489939,1100
0.490203,1110
0.495677,1120
0.489146,1130
0.482696,1140
0.489705,1150
0.494796,1160
0.500179,1170
0.495381,1180
0.488498,1190
0.480718,1200
0.492825,1210
0.493537,1220
0.48896,1230
0.492619,1240
0.491392,1250
0.491007,1260
0.492075,1270
0.498064,1280
0.49243,1290
0.477722,1300
0.491516,1310
0.491009,1320
0.489726,1330
0.476999,1340
0.48946,1350
0.483198,1360
0.495815,1370
0.489938,1380
0.481688,1390
0.494502,1400
0.480041,1410
0.48468,1420
0.486041,1430
0.486609,1440
0.486177,1450
0.48578,1460
0.484638,1470
