"precisao","ciclos"
0.203416,10
0.276624,20
0.349664,30
0.411338,40
0.437322,50
0.470004,60
0.489929,70
0.479832,80
0.490931,90
0.494243,100
0.502005,110
0.496928,120
0.497427,130
0.504068,140
0.504399,150
0.503249,160
0.498113,170
0.498712,180
0.498187,190
0.504453,200
0.499146,210
0.498022,220
0.504681,230
0.499039,240
0.505853,250
0.504343,260
0.498791,270
0.497889,280
0.498508,290
0.498697,300
0.498501,310
0.503339,320
0.497578,330
0.491732,340
0.498753,350
0.497875,360
0.491501,370
0.502799,380
0.503529,390
0.492394,400
0.497789,410
0.497014,420
0.502697,430
0.508467,440
0.509354,450
0.496917,460
0.497874,470
0.497758,480
0.503589,490
0.491684,500
0.498553,510
0.503785,520
0.503284,530
0.491501,540
0.496723,550
0.50208,560
0.502209,570
0.501684,580
0.496545,590
0.502039,600
0.508598,610
0.495454,620
0.5015,630
0.501282,640
0.502329,650
0.501749,660
0.494731,670
0.495995,680
0.495085,690
0.501361,700
0.494684,710
0.501828,720
0.500767,730
0.501005,740
0.494882,750
0.494746,760
0.500043,770
0.493787,780
0.499438,790
0.487669,800
0.500082,810
0.487846,820
0.495757,830
0.506785,840
0.50006,850
0.500088,860
0.499995,870
0.498542,880
0.504921,890
0.485435,900
0.498712,910
0.49838,920
0.49138,930
0.485385,940
0.498184,950
0.49287,960
0.485717,970
0.504634,980
0.498805,990
0.504194,1000
0.484267,1010
0.503792,1020
0.497107,1030
0.496637,1040
0.496411,1050
0.491471,1060
0.502592,1070
0.488464,1080
0.496966,1090
0.495648,1100
0.488441,1110
0.495684,1120
0.481918,1130
0.488174,1140
0.482269,1150
0.487086,1160
0.492177,1170
0.492868,1180
0.493522,1190
0.485722,1200
0.484695,1210
0.490779,1220
0.486089,1230
0.484196,1240
0.490339,1250
0.489871,1260
0.496371,1270
0.489012,1280
0.488826,1290
0.48184,1300
0.495433,1310
0.481724,1320
0.487947,1330
0.48071,1340
0.485289,1350
0.473749,1360
0.485792,1370
0.485296,1380
0.477303,1390
0.484147,1400
0.483087,1410
0.482112,1420
0.488698,1430
0.483829,1440
0.483295,1450
0.488092,1460
0.481468,1470
0.480996,1480
0.467102,1490
0.466422,1500
0.479074,1510
0.477427,1520
0.484393,1530
0.47701,1540
0.478443,1550
0.462946,1560
0.469666,1570
0.468911,1580
0.476738,1590
0.469489,1600
0.466405,1610
0.472234,1620
0.467079,1630
0.465804,1640
0.470538,1650
0.456545,1660
0.469747,1670
0.461947,1680
0.467364,1690
0.474133,1700
0.466285,1710
0.460132,1720
0.470918,1730
0.462774,1740
0.457595,1750
0.451243,1760
0.456753,1770
0.456634,1780
0.454569,1790
0.454576,1800
0.45867,1810
0.458094,1820
0.451247,1830
0.455574,1840
0.448649,1850
0.445868,1860
0.45004,1870
0.452765,1880
0.44237,1890
0.446393,1900
0.436166,1910
0.449235,1920
0.440969,1930
0.439631,1940
0.440904,1950
0.443529,1960
0.442643,1970
0.435603,1980
0.436462,1990
0.431286,2000
0.430509,2010
0.434597,2020
0.43965,2030
0.422071,2040
0.431499,2050
0.421801,2060
0.434337,2070
0.419841,2080
0.42622,2090
0.422746,2100
0.422164,2110
0.421903,2120
0.425628,2130
0.425193,2140
0.424136,2150
0.410871,2160
0.410088,2170
0.412964,2180
0.42147,2190
0.418949,2200
0.418561,2210
0.413476,2220
0.409137,2230
0.411189,2240
0.406381,2250
0.411474,2260
0.399431,2270
0.403761,2280
0.402779,2290
0.396151,2300
0.40122,2310
0.399455,2320
0.404913,2330
0.403614,2340
0.399892,2350
0.405333,2360
0.39521,2370
0.394857,2380
0.392533,2390
0.397171,2400
0.385964,2410
0.400554,2420
0.386834,2430
0.397476,2440
0.396051,2450
0.391227,2460
0.385051,2470
0.383579,2480
0.376831,2490
0.393373,2500
0.386399,2510
0.385264,2520
0.379624,2530
0.37831,2540
0.374655,2550
0.37855,2560
0.373199,2570
0.379774,2580
0.37115,2590
0.369851,2600
0.383704,2610
0.376436,2620
0.375511,2630
0.372372,2640
0.371466,2650
0.371802,2660
0.372033,2670
0.36792,2680
0.370515,2690
0.367219,2700
0.357255,2710
0.370727,2720
0.367105,2730
0.362439,2740
0.357,2750
0.360176,2760
0.363667,2770
0.353809,2780
0.356455,2790
0.359602,2800
0.357435,2810
0.357905,2820
0.35056,2830
0.355984,2840
0.353039,2850
0.351978,2860
0.361948,2870
0.355533,2880
0.355164,2890
0.343848,2900
0.353275,2910
0.352013,2920
0.351143,2930
0.347217,2940
0.341526,2950
0.34451,2960
0.338602,2970
0.337017,2980
0.343045,2990
0.34084,3000
0.339864,3010
0.339032,3020
0.332678,3030
0.347127,3040
0.338102,3050
0.340724,3060
0.338834,3070
0.337848,3080
0.344292,3090
0.338523,3100
0.335954,3110
0.332726,3120
0.333731,3130
0.3264,3140
0.325604,3150
0.332268,3160
0.333215,3170
0.330943,3180
0.337493,3190
0.327138,3200
0.331322,3210
0.328201,3220
0.335694,3230
0.329733,3240
0.324846,3250
0.326691,3260
0.329388,3270
0.328688,3280
0.32753,3290
0.328408,3300
0.327191,3310
0.321819,3320
0.333007,3330
0.318991,3340
0.331294,3350
0.325695,3360
0.323355,3370
0.331297,3380
0.320739,3390
0.324503,3400
0.317745,3410
0.32381,3420
0.319679,3430
0.325821,3440
0.313471,3450
0.316748,3460
0.318596,3470
0.315901,3480
0.317396,3490
0.315739,3500
0.317216,3510
0.306492,3520
0.310577,3530
0.311036,3540
0.304191,3550
0.306996,3560
0.307848,3570
0.30888,3580
0.300844,3590
0.306139,3600
0.301559,3610
0.300158,3620
0.299163,3630
0.304289,3640
0.299062,3650
0.292325,3660
0.297029,3670
0.286321,3680
0.289527,3690
0.283545,3700
0.284795,3710
0.28301,3720
0.287996,3730
0.28251,3740
0.277475,3750
0.280622,3760
0.273595,3770
0.275793,3780
0.272768,3790
0.26848,3800
0.265108,3810
0.264995,3820
0.265172,3830
0.257782,3840
0.26121,3850
0.257954,3860
0.251203,3870
0.254249,3880
0.248784,3890
0.247303,3900
0.245388,3910
0.241005,3920
0.241992,3930
0.24305,3940
0.237824,3950
0.236473,3960
0.231696,3970
0.237613,3980
0.232811,3990
0.231138,4000
0.22916,4010
0.224533,4020
0.22712,4030
0.221006,4040
0.219036,4050
0.215729,4060
0.218923,4070
0.21399,4080
0.212929,4090
0.2123,4100
0.209012,4110
0.210929,4120
0.205763,4130
0.204606,4140
0.204776,4150
0.200297,4160
0.201562,4170
0.199283,4180
0.195759,4190
0.193517,4200
0.196741,4210
0.192096,4220
0.191092,4230
0.192103,4240
0.186037,4250
0.189312,4260
0.185089,4270
0.183098,4280
0.182774,4290
0.182629,4300
0.179871,4310
0.179854,4320
0.1772,4330
0.177957,4340
0.174606,4350
0.174793,4360
0.171276,4370
0.172109,4380
0.16996,4390
0.169824,4400
0.167999,4410
0.166431,4420
0.164942,4430
0.166838,4440
0.164501,4450
0.162648,4460
0.161457,4470
0.160594,4480
0.159472,4490
0.157815,4500
0.15867,4510
0.158125,4520
0.155555,4530
0.154581,4540
0.153978,4550
0.152743,4560
0.152135,4570
0.15101,4580
0.151553,4590
0.148561,4600
0.148993,4610
0.147635,4620
0.146322,4630
0.145255,4640
0.145973,4650
0.143832,4660
0.143593,4670
0.142659,4680
0.142486,4690
0.14116,4700
0.140714,4710
0.139597,4720
0.139569,4730
0.139241,4740
0.138159,4750
0.136463,4760
0.136717,4770
0.135291,4780
0.134616,4790
0.134903,4800
0.132988,4810
0.133544,4820
0.131446,4830
0.132212,4840
0.130901,4850
0.130036,4860
0.12948,4870
0.128351,4880
0.128436,4890
0.127602,4900
0.127601,4910
0.127009,4920
0.126166,4930
0.125344,4940
0.125094,4950
0.124961,4960
0.123427,4970
0.12389,4980
0.12334,4990
0.122182,5000
0.122076,5010
0.121281,5020
0.121121,5030
0.119499,5040
0.119231,5050
0.119229,5060
0.118419,5070
0.118238,5080
0.118067,5090
0.116732,5100
0.116711,5110
0.116251,5120
0.115161,5130
0.114902,5140
0.114855,5150
0.114167,5160
0.113469,5170
0.113025,5180
0.113186,5190
0.112569,5200
0.112103,5210
0.111825,5220
0.110833,5230
0.111119,5240
0.110387,5250
0.109973,5260
0.109171,5270
0.109304,5280
0.109048,5290
0.108619,5300
0.107274,5310
0.107509,5320
0.107276,5330
0.106523,5340
0.106259,5350
0.105884,5360
0.10578,5370
0.1049,5380
0.104553,5390
0.104488,5400
0.103936,5410
0.103224,5420
0.103107,5430
0.102737,5440
0.102581,5450
0.101801,5460
0.101704,5470
0.101382,5480
0.101129,5490
0.100868,5500
0.100464,5510
0.100324,5520
0.100217,5530
0.0993494,5540
0.0990372,5550
0.0987217,5560
0.0984093,5570
0.098368,5580
0.0977686,5590
0.0977403,5600
0.0970397,5610
0.0967275,5620
0.096342,5630
0.0962756,5640
0.095854,5650
0.0956737,5660
0.0958415,5670
0.0955187,5680
0.0947867,5690
0.0946506,5700
0.0942489,5710
0.0938869,5720
0.0938089,5730
0.0937811,5740
0.0933082,5750
0.0931006,5760
0.093015,5770
0.0921402,5780
0.0922955,5790
0.0918101,5800
0.091552,5810
0.0915043,5820
0.0908338,5830
0.0907633,5840
0.0908213,5850
0.0904523,5860
0.0902804,5870
0.0899455,5880
0.0896812,5890
0.0892391,5900
0.0892048,5910
0.0887618,5920
0.088652,5930
0.0886404,5940
0.08803,5950
0.087869,5960
0.0879163,5970
0.0871623,5980
0.0872956,5990
0.0870631,6000
0.086836,6010
0.0866876,6020
0.0861202,6030
0.0863154,6040
0.0859452,6050
0.0857175,6060
0.0853288,6070
0.0851124,6080
0.0849703,6090
0.0846023,6100
0.0844678,6110
0.0844289,6120
0.0842889,6130
0.0838384,6140
0.0838793,6150
0.0832787,6160
0.0831485,6170
0.0831784,6180
0.0827395,6190
0.082485,6200
0.0824277,6210
0.0824563,6220
0.0821164,6230
0.081816,6240
0.0816196,6250
0.0814302,6260
0.0811729,6270
0.0809811,6280
0.0807288,6290
0.0807308,6300
0.0805706,6310
0.0802919,6320
0.0801116,6330
0.079869,6340
0.0798144,6350
0.0798385,6360
0.0795386,6370
0.0792061,6380
0.0791733,6390
0.0787404,6400
0.0786868,6410
0.078773,6420
0.0784233,6430
0.0781647,6440
0.0779316,6450
0.07782,6460
0.0777823,6470
0.077612,6480
0.077196,6490
0.0772731,6500
0.0770582,6510
0.0767563,6520
0.0767737,6530
0.076478,6540
0.0763648,6550
0.0760497,6560
0.0760449,6570
0.0759582,6580
0.0757968,6590
0.0755701,6600
0.0753634,6610
0.0752104,6620
0.0750588,6630
0.074848,6640
0.0749178,6650
0.07471,6660
0.0745063,6670
0.0743352,6680
0.0742132,6690
0.0741574,6700
0.0738455,6710
0.0737013,6720
0.0737221,6730
0.0733178,6740
0.0732136,6750
0.0731162,6760
0.0730856,6770
0.0729432,6780
0.0726877,6790
0.0725417,6800
0.0725623,6810
0.0722176,6820
0.0722342,6830
0.0721822,6840
0.0717509,6850
0.0717513,6860
0.0717201,6870
0.0715818,6880
0.0713963,6890
0.0713073,6900
0.0709371,6910
0.0710387,6920
0.0708019,6930
0.0708171,6940
0.0705403,6950
0.0703647,6960
0.070234,6970
0.0702105,6980
0.0701649,6990
0.0699532,7000
0.0698239,7010
0.0696918,7020
0.0695643,7030
0.0693423,7040
0.0691349,7050
0.0691893,7060
0.0690667,7070
0.0688995,7080
0.0687203,7090
0.0685223,7100
0.0686156,7110
0.0684963,7120
0.0682814,7130
0.068288,7140
0.0680886,7150
0.0679676,7160
0.0677596,7170
0.0676462,7180
0.0675288,7190
0.0674493,7200
0.067298,7210
0.0671819,7220
0.0671561,7230
0.0669521,7240
0.066841,7250
0.0668181,7260
0.0667062,7270
0.0665115,7280
0.0664008,7290
0.0663706,7300
0.0662106,7310
0.0661845,7320
0.0658878,7330
0.065852,7340
0.0657905,7350
0.0655969,7360
0.0656058,7370
0.0654157,7380
0.0653886,7390
0.0653168,7400
0.065242,7410
0.0650686,7420
0.0649638,7430
0.0647811,7440
0.064609,7450
0.0645065,7460
0.0645471,7470
0.0644756,7480
0.0643407,7490
0.0641634,7500
0.0641394,7510
0.0640358,7520
0.0637943,7530
0.0638643,7540
0.0636587,7550
0.0636025,7560
0.0634625,7570
0.0634666,7580
0.0632629,7590
0.0631022,7600
0.0630693,7610
0.0630445,7620
0.0628756,7630
0.0628529,7640
0.0626584,7650
0.0626256,7660
0.0624697,7670
0.0624771,7680
0.0623825,7690
0.0621891,7700
0.0621943,7710
0.0620986,7720
0.0619379,7730
0.0618468,7740
0.0617839,7750
0.0616649,7760
0.0616721,7770
0.0614294,7780
0.0613977,7790
0.0614308,7800
0.0611628,7810
0.0612536,7820
0.0610148,7830
0.0609935,7840
0.0608675,7850
0.0608446,7860
0.0607832,7870
0.0606386,7880
0.0606357,7890
0.0603745,7900
0.0603711,7910
0.0602576,7920
0.0602004,7930
0.06018,7940
0.0600416,7950
0.0599205,7960
0.0598382,7970
0.0598697,7980
0.0597596,7990
0.059537,8000
0.0595662,8010
0.0594581,8020
0.0593743,8030
0.0592916,8040
0.0592357,8050
0.0591276,8060
0.0590138,8070
0.0589329,8080
0.0588541,8090
0.0587999,8100
0.0587525,8110
0.0586152,8120
0.0586432,8130
0.0584581,8140
0.0583305,8150
0.0583016,8160
0.0582817,8170
0.0582284,8180
0.0581755,8190
0.0580963,8200
0.0579459,8210
0.0579175,8220
0.0577602,8230
0.0577392,8240
0.0576876,8250
0.0575348,8260
0.0575368,8270
0.0573612,8280
0.0573387,8290
0.057288,8300
0.0571598,8310
0.057161,8320
0.0570404,8330
0.0570365,8340
0.0568201,8350
0.0568677,8360
0.0568176,8370
0.0566009,8380
0.0565733,8390
0.0565023,8400
0.0565269,8410
0.0564546,8420
0.0563102,8430
0.0562177,8440
0.0562195,8450
0.0561719,8460
0.0560072,8470
0.0559171,8480
0.0559192,8490
0.0558004,8500
0.055801,8510
0.0556182,8520
0.0556426,8530
0.0555751,8540
0.0554849,8550
0.0554163,8560
0.0553434,8570
0.0553025,8580
0.055235,8590
0.0551197,8600
0.0551029,8610
0.0549885,8620
0.0549028,8630
0.0548832,8640
0.0547718,8650
0.0547736,8660
0.054682,8670
0.0546157,8680
0.0545768,8690
0.0545307,8700
0.0544467,8710
0.054317,8720
0.0543583,8730
0.0541885,8740
0.05423,8750
0.0540808,8760
0.0540625,8770
0.0539981,8780
0.05391,8790
0.0538722,8800
0.0537667,8810
